lgb_lr,lgb_leaves,lgb_estimators,lgb_subsample,lgb_colsample,lgb_min_child,lgb_alpha,lgb_lambda,cat_lr,cat_depth,cat_l2,cat_estimators,cat_subsample,xgb_lr,xgb_depth,xgb_estimators,xgb_subsample,xgb_colsample,xgb_alpha,xgb_lambda,mlp_units,mlp_lr,mlp_alpha,mlp_patience,mlp_maxit,ridge_alpha,value_rmse,number
0.023171758042400847,244,613,0.7993292420985183,0.5780093202212182,17,1.7073967431528103e-05,0.029154431891537533,0.05859268690985102,10,1.0485387725194617,779,0.9162213204002109,0.011927270244911253,4,269,0.6521211214797689,0.762378215816119,0.0005342937261279777,0.0001461896279370495,91,0.00019010245319870352,7.52374288453485e-05,10,218,1.382623217936987,0.26091574400018935,0
0.011324530081857673,138,515,0.5232252063599989,0.8037724259507192,18,1.8205657658407255e-05,0.06245139574743072,0.260621242754743,11,2.0165721691808587,168,0.8421165132560784,0.030312915679000213,3,472,0.5171942605576092,0.954660201039391,0.00010842262717330161,0.004467752817973905,62,0.001096821720752952,0.00043664735929796326,9,296,1.2604664585649468,0.26897837811973263,1
0.23417537373087385,230,519,0.9609371175115584,0.5442462510259598,19,1.5167330688076188e-05,0.0002001342062287998,0.024552573114597503,6,6.741204610702761,350,0.6404672548436904,0.04612811663739071,4,672,0.5372753218398854,0.9934434683002586,0.012273800987852962,6.235377135673157e-05,32,0.004274869455295219,0.001319994226153501,13,266,0.0019777828512462727,0.27055349603274187,2
0.02169583092556068,42,705,0.811649063413779,0.6654490124263246,13,0.00017535949529764417,0.00019986340778528852,0.09915626115435812,9,7.712811947156349,431,0.5597971229691509,0.09273146363606355,9,515,0.8854835899772805,0.7468977981821954,0.0012329098365270509,0.0005130551760589835,34,0.00016435497475111326,1.2424747083660186e-05,13,197,0.1082138291061399,0.2650545243793143,3
0.20547569815878264,75,387,0.8777755692715243,0.6143990827458112,13,0.00014421346497969477,4.414536876494478e-05,0.2249640113405509,11,4.299359454731439,710,0.9018360384495572,0.010732966845902341,10,501,0.9037200775820313,0.9480456499617467,0.0001870742013766025,2.7555462077796642e-05,54,0.0007148510793512986,0.00284475125551182,14,151,0.11040511903162252,0.26258165534073796,4
0.027617852225448134,68,184,0.668807585701814,0.9714548519562596,26,0.0011889469769530464,0.006487477066058677,0.022159422423074858,12,9.171646234807426,276,0.7486242529461927,0.017138671203650965,5,174,0.8047821669899484,0.7513395116144308,1.6066267921727703e-05,0.00013019246714361573,120,0.00030138649046798047,2.7207248059486674e-05,11,298,0.009294394155644996,0.28614009953613906,5
0.07836617837752659,198,266,0.8641081743059298,0.6838915663596266,42,0.0034207303670092245,0.0013902686711035,0.007236338464200444,11,2.0930522257520923,230,0.520387570777382,0.05619103481064744,8,160,0.7560465291496405,0.613247887598969,0.0038079493367685594,4.9827112000811324e-05,99,0.0005935682912014691,0.006459367085984857,9,201,0.0028437674894443675,0.26692946874951917,6
0.22040179028906517,226,280,0.8299920230170895,0.9086111001006079,38,0.001314021022620738,9.277034327414714e-05,0.007320163937296794,12,7.950932329069354,543,0.6695148955243504,0.020888990196728224,8,734,0.9435432121325587,0.8899377729288119,0.0036993598999597497,2.1705003488711137e-05,47,0.0062677025403884866,0.0006596099207886098,8,165,0.4508240502480682,0.26647972709256357,7
0.00510470049391559,53,484,0.8459475988463466,0.8259806297513003,21,0.007058572590901788,8.891936446296254e-05,0.018948720266575597,10,4.463061784492515,695,0.8288064461501716,0.05122814828482952,3,389,0.6326011838408627,0.6219948216895418,0.07799059237255677,0.00037358626308127543,118,0.0018292676411745708,0.0024234491447023164,12,237,0.09334064019986364,0.28585337236281416,8
0.011120941781720895,189,296,0.5121579832157269,0.822736147953584,19,0.05778755734457457,0.06542056762893128,0.21170799723773884,7,1.0362310858538248,750,0.7140920741586572,0.2617149185801249,10,705,0.6472244460347929,0.6925488643009626,0.025383218374507292,0.00018522006003174386,48,0.001298980180933064,0.006433752092130681,13,236,0.0024474057445796832,0.26890546617103245,9
