class_id,fire_mean,facility_mean,count,coverage_ratio
0,0.022248310826105712,0.052206135784016776,192320,0.16142890703079651
1,0.07229378833317458,0.05587148630348252,97527,0.17276269987633533
2,0.12591472339376106,0.07107694363459023,74833,0.21978016862788427
3,0.18705528993357867,0.07973351758804671,47182,0.24654754474089605
4,0.2762203977679894,0.06451208549641571,14782,0.19948067972408776
